Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100n,
C15,0603,1,10p,
C16,0603,1,33p,
C17,0805,1,100u,
"C18, C26",0805,2,4u7,
"C19, C20",0805,2,1u,
C21,0603,1,22p,
CARD1,SIM_SMD_SMO_1512,1,SMO-1512,
CN1,CONN-TH_PH-2A,1,PH-2AK,
"D1, D5, D7",0201,3,GREEN,
D2,SOD-123_L2.8-W1.8-LS3.7-RD,1,MMSZ5231BT1G,
D3,SMF12CT1G,1,SMF12CT1G,
J1,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J3,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
L1,0402,1,68n,
"Q1, Q3",SOT-23,2,BC817,
"R1, R9",0805,2,4k7,
"R10, R15",0805,2,47k,
"R11, R16, R17",0603,3,300,
"R2, R3, R6, R7, R8",0603,5,22,
"R4, R5",0805,2,1k,
"RF1, RF2",SMA-TH_SMA-KE-5,2,SMA-KE-5,
SW1,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,K2-6639SP-C4SC-04,
U1,XCVR_SIM808,1,SIM808,
