Designator,Mid X,Mid Y,Rotation,Layer
C1,74.98,-69.75,0.0,top
C15,43.775,-55.85,0.0,top
C16,43.8,-57.85,0.0,top
C17,43.525001,-53.7,0.0,top
C18,44.45,-74.0,0.0,top
C19,43.8,-84.2,0.0,top
C20,57.85,-78.075,90.0,top
C21,62.25,-77.875,270.0,top
C26,47.7,-36.75,180.0,top
CARD1,75.800125,-82.0501,270.0,top
CN1,45.6,-30.15,0.0,top
D1,48.65,-42.6,180.0,top
D2,42.9,-50.9,180.0,top
D3,64.95,-84.4,0.0,top
D5,70.73,-44.55,0.0,top
D7,42.88,-82.35,0.0,top
J1,37.5,-63.83,180.0,bottom
J2,84.1,-55.26,0.0,bottom
J3,48.995,-91.195,0.0,top
J6,84.3,-37.7,0.0,top
L1,77.25,-68.75,270.0,top
Q1,43.4875,-60.95,180.0,top
Q3,75.1375,-48.35,0.0,top
R1,43.6,-63.9,0.0,top
R10,75.35,-52.2,180.0,top
R11,71.25,-46.5,0.0,top
R15,43.6875,-66.4875,180.0,top
R16,47.85,-40.55,0.0,top
R17,44.025,-80.4,0.0,top
R2,48.15,-82.35,180.0,top
R3,51.45,-82.35,0.0,top
R4,43.5875,-69.0,0.0,top
R5,43.5875,-71.4,0.0,top
R6,66.55,-77.825,270.0,top
R7,64.35,-77.875,270.0,top
R8,60.15,-77.875,90.0,top
R9,75.35,-54.75,180.0,top
RF1,54.3999,-37.1501,0.0,top
RF2,82.7999,-69.1501,0.0,top
SW1,68.2,-37.55,0.0,top
U1,59.6,-61.75,0.0,top
